time,precipitation_mm
2010-01-01,1.6205442
2010-01-02,3.19861
2010-01-03,0.734346
2010-01-04,0.73012966
2010-01-05,3.2745855
2010-01-06,5.3132744
2010-01-07,1.3510697
2010-01-08,1.3984827
2010-01-09,2.7526672
2010-01-10,3.180066
2010-01-11,1.7992129
2010-01-12,0.8947715
2010-01-13,3.355403
2010-01-14,2.3452756
2010-01-15,1.3058168
2010-01-16,7.1085534
2010-01-17,1.2057375
2010-01-18,0.9586879
2010-01-19,0.24439919
2010-01-20,3.071287
2010-01-21,0.2687758
2010-01-22,11.6803255
2010-01-23,1.5113496
2010-01-24,1.6506344
2010-01-25,1.2945087
2010-01-26,0.056892455
2010-01-27,1.3158259
2010-01-28,2.2163725
2010-01-29,5.6357803
2010-01-30,1.2005411
2010-01-31,0.53359723
2010-02-01,0.7383424
2010-02-02,5.493438
2010-02-03,2.981072
2010-02-04,0.663166
2010-02-05,5.308301
2010-02-06,0.77091783
2010-02-07,0.7597447
2010-02-08,2.053441
2010-02-09,1.4313301
2010-02-10,1.3608183
2010-02-11,2.463435
2010-02-12,1.5219728
2010-02-13,1.5438168
2010-02-14,1.8008345
2010-02-15,1.5908954
2010-02-16,4.957237
2010-02-17,0.9687037
2010-02-18,4.5891733
2010-02-19,1.756368
2010-02-20,1.1156877
2010-02-21,5.424856
2010-02-22,5.798112
2010-02-23,2.1255631
2010-02-24,4.076693
2010-02-25,4.14025
2010-02-26,7.6078286
2010-02-27,3.9139185
2010-02-28,10.516142
2010-03-01,0.20755535
2010-03-02,0.015807826
2010-03-03,6.5636064e-05
2010-03-04,0.033124574
2010-03-05,0.35473102
2010-03-06,0.88470244
2010-03-07,0.00062372006
2010-03-08,0.11440428
2010-03-09,0.43698934
2010-03-10,0.18226631
2010-03-11,0.23157513
2010-03-12,3.4218647
2010-03-13,0.09253213
2010-03-14,0.6567799
2010-03-15,0.998955
2010-03-16,0.02928495
2010-03-17,0.003331208
2010-03-18,0.3839628
2010-03-19,4.4597473
2010-03-20,7.5530896
2010-03-21,0.2739008
2010-03-22,0.87290454
2010-03-23,0.8667769
2010-03-24,3.2114482
2010-03-25,6.881031
2010-03-26,0.40852803
2010-03-27,1.0829502
2010-03-28,1.9801078
2010-03-29,8.146322
2010-03-30,5.693146
2010-03-31,4.1671042
2010-04-01,1.3978007
2010-04-02,3.8322508
2010-04-03,2.6151116
2010-04-04,1.1319152
2010-04-05,1.3679267
2010-04-06,4.4703484e-05
2010-04-07,1.2223719
2010-04-08,0.03435374
2010-04-09,0.09727026
2010-04-10,0.07105344
2010-04-11,0.013128899
2010-04-12,0.19756527
2010-04-13,0.044040024
2010-04-14,0.050402023
2010-04-15,0.014181204
2010-04-16,0.03651015
2010-04-17,8.098071e-05
2010-04-18,0.25631106
2010-04-19,1.8283563
2010-04-20,0.0823047
2010-04-21,0.122408964
2010-04-22,4.4703484e-05
2010-04-23,0.0
2010-04-24,0.0
2010-04-25,1.2762668
2010-04-26,0.59577245
2010-04-27,0.00030343374
2010-04-28,0.06290038
2010-04-29,4.394516
2010-04-30,2.3035262
2010-05-01,1.5398636
2010-05-02,4.9328017
2010-05-03,0.9935843
2010-05-04,0.20814101
2010-05-05,0.09499011
2010-05-06,0.23653448
2010-05-07,1.1152843
2010-05-08,2.9738877
2010-05-09,0.39516982
2010-05-10,0.49655885
